Title,Rating,Votes,Duration,Genre
1. The Unholy Trinity,6.2, (294),1h 35m,Action
2. Gladiator II,6.5, (250K),2h 28m,Action
3. Dune: Part Two,8.5, (640K),2h 46m,Action
4. Venom: The Last Dance,6.0, (128K),1h 50m,Action
5. The Beekeeper,6.3, (161K),1h 45m,Action
6. Civil War,7.0, (243K),1h 49m,Action
7. Twisters,6.5, (175K),2h 2m,Action
8. The Ministry of Ungentlemanly Warfare,6.8, (139K),2h 2m,Action
9. Deadpool & Wolverine,7.5, (506K),2h 8m,Action
10. Kraven the Hunter,5.5, (62K),2h 7m,Action
11. Carry-On,6.5, (171K),1h 59m,Action
12. The Fall Guy,6.8, (226K),2h 6m,Action
13. Furiosa: A Mad Max Saga,7.5, (291K),2h 28m,Action
14. Madame Web,4.1, (103K),1h 56m,Action
15. Freaky Tales,6.2, (7K),1h 47m,Action
16. Cells at Work!,6.7, (638),1h 49m,Action
17. Sonic the Hedgehog 3,6.9, (64K),1h 50m,Action
18. The Count of Monte-Cristo,7.6, (37K),2h 58m,Action
19. Dirty Angels,4.4, (3.9K),1h 44m,Action
20. Rebel Ridge,6.8, (91K),2h 11m,Action
21. Fight or Flight,6.4, (14K),1h 42m,Action
22. Borderlands,4.7, (50K),1h 41m,Action
23. Transformers One,7.6, (54K),1h 44m,Action
24. Argylle,5.6, (94K),2h 19m,Action
25. Godzilla x Kong: The New Empire,6.0, (124K),1h 55m,Action
26. Road House,6.2, (170K),2h 1m,Action
27. Kingdom of the Planet of the Apes,6.8, (154K),2h 25m,Action
28. Elevation,5.6, (24K),1h 31m,Action
29. Damsel,6.1, (111K),1h 50m,Action
30. Bad Boys: Ride or Die,6.5, (102K),1h 55m,Action
31. Absolution,5.2, (8.8K),1h 52m,Action
32. The Prosecutor,6.6, (2.5K),1h 57m,Action
33. The Union,5.4, (54K),1h 47m,Action
34. Maharaja,8.4, (70K),2h 21m,Action
35. Land of Bad,6.6, (52K),1h 53m,Action
36. The Crow,4.7, (36K),1h 51m,Action
37. Red One,6.3, (142K),2h 3m,Action
38. The Lord of the Rings: The War of the Rohirrim,6.3, (33K),2h 14m,Action
39. The Instigators,6.2, (39K),1h 41m,Action
40. Kung Fu Panda 4,6.3, (70K),1h 34m,Action
41. Homestead,5.2, (4.1K),1h 52m,Action
42. Survive,4.6, (3K),1h 30m,Action
43. Drive-Away Dolls,5.4, (24K),1h 24m,Action
44. Monkey Man,6.8, (93K),2h 1m,Action
45. The Killer,5.7, (13K),2h 6m,Action
46. The Shadow Strays,6.5, (9.6K),2h 24m,Action
47. Beverly Hills Cop: Axel F,6.4, (82K),1h 58m,Action
48. Canary Black,5.4, (12K),1h 41m,Action
49. Arcadian,5.5, (24K),1h 32m,Action
50. The Killer's Game,5.8, (18K),1h 44m,Action
51. Old Guy,5.2, (3K),1h 34m,Action
52. William Tell,5.7, (3K),2h 14m,Action
53. 40 Acres,6.9, (326),1h 53m,Action
54. Attack on Titan the Movie: The Last Attack,9.2, (17K),2h 25m,Action
55. Uglies,4.7, (34K),1h 40m,Action
56. Uninvited,5.8, (293),1h 33m,Action
57. Blitz,6.2, (17K),2h,Action
58. Under Paris,5.2, (37K),1h 44m,Action
59. Atlas,5.6, (57K),1h 58m,Action
60. Thelma,7.0, (24K),1h 38m,Action
61. Lift,5.5, (50K),1h 47m,Action
62. Azrael,5.4, (12K),1h 26m,Action
63. Twilight of the Warriors: Walled In,7.0, (10K),2h 6m,Action
64. Pushpa: The Rule - Part 2,6.1, (58K),3h 21m,Action
65. Armor,3.6, (4.5K),1h 29m,Action
66. 11 Rebels,6.3, (657),2h 35m,Action
67. Solo Leveling: ReAwakening,8.8, (14K),2h 1m,Action
68. Hellboy: The Crooked Man,4.5, (14K),1h 39m,Action
69. The Silent Hour,6.1, (8.3K),1h 39m,Action
70. Apocalypse Z: The Beginning of the End,6.1, (21K),1h 57m,Action
71. Kalki 2898-AD,7.0, (68K),3h,Action
72. Brothers,5.4, (14K),1h 29m,Action
73. Take Cover,5.1, (2.8K),1h 30m,Action
74. Trigger Warning,4.6, (20K),1h 46m,Action
75. Rebel Moon - Part Two: The Scargiver,5.3, (60K),2h 2m,Action
76. Relay,7.5, (124),1h 52m,Action
77. Red Right Hand,5.5, (6K),1h 51m,Action
78. Fighter,6.2, (53K),2h 46m,Action
79. Dan Da Dan: First Encounter,8.2, (2.9K),1h 23m,Action
80. Watchmen: Chapter I,7.1, (7K),1h 23m,Action
81. Jackpot!,5.8, (31K),1h 46m,Action
82. Aftermath,5.1, (4.3K),1h 37m,Action
83. Weekend in Taipei,5.7, (5.3K),1h 40m,Action
84. Amaran,8.1, (19K),2h 47m,Action
85. Aavesham,7.8, (29K),2h 35m,Action
86. The Fix,4.7, (1.5K),1h 38m,Action
87. Marco,6.8, (22K),2h 25m,Action
88. Cloud,6.3, (1.5K),2h 4m,Action
89. Uprising,6.6, (5.9K),2h 6m,Action
90. Utopia,3.6, (401),1h 31m,Action
91. Trouble,6.2, (7.1K),1h 38m,Action
92. Werewolves,4.4, (7.5K),1h 33m,Action
93. Harbin,6.2, (938),1h 48m,Action
94. Classified,3.7, (2.8K),1h 45m,Action
95. The Roundup: Punishment,6.6, (5.6K),1h 49m,Action
96. No Way Up,4.6, (11K),1h 30m,Action
97. My Spy: The Eternal City,5.7, (11K),1h 52m,Action
98. Bougainvillea,6.4, (3.4K),2h 18m,Action
99. Paradox Effect,5.8, (8.8K),1h 27m,Action
100. Role Play,5.5, (19K),1h 40m,Action
101. Karma,7.9, (1.5K),2h 47m,Action
102. The Last Stand of Ellen Cole,7.1, (68),1h 37m,Action
103. Descendants: The Rise of Red,4.7, (7.2K),1h 31m,Action
104. Watchmen: Chapter II,7.1, (3.4K),1h 30m,Action
105. Chief of Station,4.7, (4.8K),1h 37m,Action
106. Wynonna Earp: Vengeance,5.5, (1.7K),1h 36m,Action
107. Hagen,6.0, (1.4K),2h 19m,Action
108. Boneyard,4.1, (5.2K),1h 36m,Action
109. Khadaan,7.1, (2.2K),2h 17m,Action
110. Night Call,6.8, (2.3K),1h 37m,Action
111. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.8K),1h 33m,Action
112. Damaged,4.7, (7.6K),1h 37m,Action
113. Xiong shi shao nian 2,7.5, (354),2h 14m,Action
114. Toofan,7.4, (8.6K),2h 25m,Action
115. Officer Black Belt,6.9, (8.7K),1h 48m,Action
116. Yodha,5.7, (9K),2h 10m,Action
117. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.8K),1h 34m,Action
118. Shark Warning,3.4, (350),1h 34m,Action
119. Saripodhaa Sanivaaram,7.0, (9.9K),2h 46m,Action
120. Chandu Champion,7.8, (34K),2h 22m,Action
121. The Quiet Ones,6.1, (1K),1h 50m,Action
122. My Hero Academia: You're Next,7.0, (2.6K),1h 50m,Action
123. Singham Again,4.6, (75K),2h 24m,Action
124. Gunner,3.2, (2.8K),1h 46m,Action
125. Devara Part 1,6.0, (21K),2h 56m,Action
126. Panda Plan,5.1, (1.5K),1h 39m,Action
127. Long Gone Heroes,5.1, (1.3K),1h 41m,Action
128. Latency,4.2, (2.9K),1h 34m,Action
129. Code 8: Part II,5.7, (16K),1h 40m,Action
130. Sikandar ka Muqaddar,5.9, (25K),2h 22m,Action
